Time(min)	Fluorescence
202.882883	193.088855
203.243243	193.353783
203.603604	193.618352
203.963964	193.882562
204.324324	194.146410
204.684685	194.409898
205.045045	194.673025
205.405405	194.935789
205.765766	195.198191
206.126126	195.460229
206.486486	195.721904
206.846847	195.983215
207.207207	196.244161
207.567568	196.504742
207.927928	196.764957
208.288288	197.024805
208.648649	197.284287
209.009009	197.543402
209.369369	197.802149
209.729730	198.060527
210.090090	198.318537
210.450450	198.576177
210.810811	198.833447
211.171171	199.090346
211.531532	199.346874
211.891892	199.603031
212.252252	199.858816
212.612613	200.114228
212.972973	200.369267
213.333333	200.623932
213.693694	200.878223
214.054054	201.132139
214.414414	201.385680
214.774775	201.638846
215.135135	201.891634
215.495495	202.144046
215.855856	202.396081
216.216216	202.647738
216.576577	202.899016
216.936937	203.149915
217.297297	203.400435
217.657658	203.650574
218.018018	203.900333
218.378378	204.149711
218.738739	204.398708
219.099099	204.647322
219.459459	204.895553
219.819820	205.143402
220.180180	205.390866
220.540541	205.637947
220.900901	205.884642
221.261261	206.130952
221.621622	206.376876
221.981982	206.622414
222.342342	206.867565
222.702703	207.112329
223.063063	207.356704
223.423423	207.600691
223.783784	207.844289
224.144144	208.087498
224.504505	208.330316
224.864865	208.572744
225.225225	208.814780
225.585586	209.056425
225.945946	209.297678
226.306306	209.538538
226.666667	209.779004
227.027027	210.019077
227.387387	210.258756
227.747748	210.498039
228.108108	210.736928
228.468468	210.975420
228.828829	211.213516
229.189189	211.451215
229.549550	211.688516
229.909910	211.925420
230.270270	212.161925
230.630631	212.398030
230.990991	212.633736
231.351351	212.869042
231.711712	213.106480
232.072072	213.344800
232.432432	213.582793
232.792793	213.820460
233.153153	214.057800
233.513514	214.294813
233.873874	214.531498
234.234234	214.767857
234.594595	215.003889
234.954955	215.239594
235.315315	215.474971
235.675676	215.710021
236.036036	215.944744
236.396396	216.179140
236.756757	216.413209
237.117117	216.646950
237.477477	216.880364
237.837838	217.113450
238.198198	217.346209
238.558559	217.578640
238.918919	217.810744
239.279279	218.042521
239.639640	218.273969
240.000000	218.505091
240.360360	218.735884
240.720721	218.966350
241.081081	219.196488
241.441441	219.426298
241.801802	219.655780
242.162162	219.884934
242.522523	220.113761
242.882883	220.342260
243.243243	220.570430
243.603604	220.798273
243.963964	221.025787
244.324324	221.252974
244.684685	221.479832
245.045045	221.706362
245.405405	221.932564
245.765766	222.158437
246.126126	222.383982
246.486486	222.609199
246.846847	222.834088
247.207207	223.058648
247.567568	223.282880
247.927928	223.506783
248.288288	223.730357
248.648649	223.953604
249.009009	224.176521
249.369369	224.399110
249.729730	224.621370
250.090090	224.843301
250.450450	225.064904
250.810811	225.286178
251.171171	225.507123
251.531532	225.727739
251.891892	225.948026
252.252252	226.167985
252.612613	226.387614
252.972973	226.606914
253.333333	226.825885
253.693694	227.044527
254.054054	227.262840
254.414414	227.480824
254.774775	227.698479
255.135135	227.915804
255.495495	228.132800
255.855856	228.349466
256.216216	228.565804
256.576577	228.781811
256.936937	228.997490
257.297297	229.212839
257.657658	229.427858
258.018018	229.642548
258.378378	229.856908
258.738739	230.070938
259.099099	230.284639
259.459459	230.498010
259.819820	230.711052
260.180180	230.923763
260.540541	231.136145
260.900901	231.348197
261.261261	231.559918
261.621622	231.771310
261.981982	231.982372
262.342342	232.193104
262.702703	232.403506
263.063063	232.613578
263.423423	232.823319
263.783784	233.032731
264.144144	233.241812
264.504505	233.450563
264.864865	233.658983
265.225225	233.867073
265.585586	234.074833
265.945946	234.282263
266.306306	234.489362
266.666667	234.696130
267.027027	234.902568
267.387387	235.108676
267.747748	235.314452
268.108108	235.519898
268.468468	235.725014
268.828829	235.929799
269.189189	236.134252
269.549550	236.338376
269.909910	236.542168
270.270270	236.745629
270.630631	236.948760
270.990991	237.151559
271.351351	237.354028
271.711712	237.556165
272.072072	237.757972
272.432432	237.959447
272.792793	238.160591
273.153153	238.361404
273.513514	238.561886
273.873874	238.762036
274.234234	238.961855
274.594595	239.161343
274.954955	239.360500
275.315315	239.559325
275.675676	239.757818
276.036036	239.955980
276.396396	240.153811
276.756757	240.351310
277.117117	240.548477
277.477477	240.745313
277.837838	240.941817
278.198198	241.137989
278.558559	241.333829
278.918919	241.529338
279.279279	241.724515
279.639640	241.919360
280.000000	242.113873
280.360360	242.308054
280.720721	242.501903
281.081081	242.695420
281.441441	242.888605
281.801802	243.081458
282.162162	243.273978
282.522523	243.466167
282.882883	243.658023
283.243243	243.849547
283.603604	244.040739
283.963964	244.231598
284.324324	244.422125
284.684685	244.612320
285.045045	244.802182
285.405405	244.991711
285.765766	245.180908
286.126126	245.371703
286.486486	245.563189
286.846847	245.754399
287.207207	245.945336
287.567568	246.135998
287.927928	246.326387
288.288288	246.516502
288.648649	246.706345
289.009009	246.895915
289.369369	247.085212
289.729730	247.274238
290.090090	247.462992
290.450450	247.651474
290.810811	247.839686
291.171171	248.027627
291.531532	248.215298
291.891892	248.402699
292.252252	248.589831
292.612613	248.776693
292.972973	248.963287
293.333333	249.149611
293.693694	249.335668
294.054054	249.521457
294.414414	249.706978
294.774775	249.892232
295.135135	250.077220
295.495495	250.261941
295.855856	250.446395
296.216216	250.630584
296.576577	250.814507
296.936937	250.998166
297.297297	251.181559
297.657658	251.364688
298.018018	251.547553
298.378378	251.730154
298.738739	251.912492
299.099099	252.094567
299.459459	252.276379
299.819820	252.457928
300.180180	252.639216
300.540541	252.820242
300.900901	253.001006
301.261261	253.181509
301.621622	253.361752
301.981982	253.541734
302.342342	253.721457
302.702703	253.900919
303.063063	254.080123
303.423423	254.259067
303.783784	254.437753
304.144144	254.616180
304.504505	254.794350
304.864865	254.972262
305.225225	255.149916
305.585586	255.327314
305.945946	255.504455
306.306306	255.681340
306.666667	255.857969
307.027027	256.034342
307.387387	256.210460
307.747748	256.386323
308.108108	256.561932
308.468468	256.737286
308.828829	256.912387
309.189189	257.087234
309.549550	257.261828
309.909910	257.436169
310.270270	257.610257
310.630631	257.784094
310.990991	257.957678
311.351351	258.131011
311.711712	258.304093
312.072072	258.476924
312.432432	258.649505
312.792793	258.821835
313.153153	258.993916
313.513514	259.165748
313.873874	259.337330
314.234234	259.508663
314.594595	259.679749
314.954955	259.850586
315.315315	260.021175
315.675676	260.191517
316.036036	260.361612
316.396396	260.531460
316.756757	260.701062
317.117117	260.870418
317.477477	261.039528
317.837838	261.208393
318.198198	261.377012
318.558559	261.545388
318.918919	261.713519
319.279279	261.881405
319.639640	262.049049
320.000000	262.216449
320.360360	262.383606
320.720721	262.550520
321.081081	262.717192
321.441441	262.883623
321.801802	263.049811
322.162162	263.215759
322.522523	263.381465
322.882883	263.546931
323.243243	263.712157
323.603604	263.877143
323.963964	264.041889
324.324324	264.206396
324.684685	264.370664
325.045045	264.534694
325.405405	264.698486
325.765766	264.862040
326.126126	265.025356
326.486486	265.188435
